iter	Passed	Remaining
801	2882	711
802	2889	708
803	2898	706
804	2905	703
805	2913	701
806	2921	698
807	2934	697
808	2939	694
809	2950	692
810	2955	688
811	2962	685
812	2969	683
813	2975	679
814	2982	677
815	2994	675
816	3004	672
817	3011	670
818	3020	667
819	3028	664
820	3039	662
821	3044	659
822	3052	656
823	3060	653
824	3065	650
825	3073	647
826	3080	644
827	3091	642
828	3096	638
829	3104	635
830	3111	632
831	3119	629
832	3126	626
833	3133	623
834	3141	620
835	3149	617
836	3157	614
837	3165	611
838	3172	608
839	3180	605
840	3187	602
841	3195	599
842	3202	596
843	3210	593
844	3218	590
845	3225	587
846	3232	583
847	3240	580
848	3248	577
849	3255	574
850	3263	571
851	3271	568
852	3278	564
853	3286	561
854	3293	558
855	3300	555
856	3308	552
857	3317	548
858	3324	545
859	3331	542
860	3339	539
861	3345	535
862	3351	532
863	3357	528
864	3366	525
865	3374	522
866	3383	518
867	3392	515
868	3400	512
869	3408	509
870	3418	506
871	3425	502
872	3435	499
873	3444	496
874	3449	492
875	3453	488
876	3461	485
877	3468	481
878	3473	478
879	3483	474
880	3489	471
881	3494	467
882	3502	464
883	3510	460
884	3518	457
885	3526	453
886	3535	450
887	3538	446
888	3542	442
889	3546	438
890	3549	434
891	3553	430
892	3556	426
893	3560	422
894	3563	418
895	3567	414
896	3573	410
897	3579	406
898	3586	402
899	3594	399
900	3600	395
901	3608	392
902	3616	388
903	3624	384
904	3632	381
905	3640	377
906	3648	374
907	3656	370
908	3664	366
909	3672	363
910	3680	359
911	3688	355
912	3695	352
913	3699	348
914	3706	344
915	3712	340
916	3717	336
917	3725	332
918	3733	329
919	3740	325
920	3748	321
921	3757	317
922	3766	314
923	3772	310
924	3780	306
925	3788	302
926	3796	298
927	3804	295
928	3812	291
929	3818	287
930	3826	283
931	3835	279
932	3842	275
933	3851	272
934	3858	268
935	3866	264
936	3874	260
937	3883	256
938	3891	252
939	3899	248
940	3908	245
941	3917	241
942	3930	237
943	3937	233
944	3945	229
945	3953	225
946	3965	221
947	3973	217
948	3981	213
949	3989	209
950	3997	205
951	4005	201
952	4013	197
953	4021	193
954	4029	189
955	4037	185
956	4046	181
957	4051	177
958	4060	173
959	4068	169
960	4080	165
961	4087	161
962	4094	157
963	4103	153
964	4114	149
965	4120	145
966	4128	140
967	4136	136
968	4144	132
969	4152	128
970	4163	124
971	4170	120
972	4178	115
973	4186	111
974	4194	107
975	4202	103
976	4210	99
977	4214	94
978	4219	90
979	4225	86
980	4231	81
981	4236	77
982	4244	73
983	4251	69
984	4259	64
985	4266	60
986	4274	56
987	4282	52
988	4289	47
989	4297	43
990	4302	39
991	4310	34
992	4317	30
993	4326	26
994	4336	21
995	4342	17
996	4351	13
997	4357	8
998	4366	4
999	4370	0
